time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832124430668;122;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;84;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;-4;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;-44;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;12;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;90;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;97;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;80;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;116;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;150;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;184;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;187;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;155;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;112;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;80;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;70;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;69;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;85;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;67;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;21;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;-1;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;20;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;60;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;77;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;114;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;140;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;105;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;91;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;172;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;234;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;204;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;170;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;202;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;258;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;237;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;116;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;17;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;42;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;106;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;93;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;12;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;-53;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;-40;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;-7;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;4;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;12;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;7;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;35;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;105;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;165;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;150;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430668;90;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;44;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;19;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;16;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;42;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;71;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;50;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;-4;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;-37;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;-29;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;2;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
63832124430715;41;40;48;100;4109;2589;8484;12584;323952;2470;1366;45992;48
