time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832118332267;29;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;68;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;117;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;132;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;121;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;105;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;97;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;88;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;75;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;60;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;54;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;23;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;-21;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;-52;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;-94;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;-115;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;-46;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;57;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;74;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;24;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;70;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;98;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;51;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
63832118332267;-10;48;30;100;4159;595;3023;2075;176223;1313;475;21659;36
