time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832190012025;92;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;23;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-8;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;5;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;54;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;92;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;97;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;49;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-12;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-33;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-13;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-7;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-9;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;0;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-2;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-9;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-20;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-41;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-65;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-62;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-11;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;25;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;12;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-14;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-41;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;-35;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;8;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;64;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;76;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;49;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;28;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;41;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;71;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;108;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;114;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
63832190012025;80;40;51;100;2428;2583;5826;14840;139858;20723;4180;30182;49
