time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832196345410;28;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;27;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;28;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;35;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;28;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;18;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;16;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;36;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;57;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;66;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;60;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;54;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;57;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;64;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;57;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;45;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;27;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;11;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;6;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;5;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;16;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;29;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;27;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;1;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-29;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-50;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-58;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-51;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-34;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-21;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-22;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-21;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;-4;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345410;3;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;7;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;25;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;48;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;61;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;64;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;58;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;66;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;73;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;71;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;67;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;68;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;68;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;74;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;104;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;123;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
63832196345472;105;35;48;100;9332;3039;4315;3291;223517;644;626;13739;36
